smiles,gap,mol_weight,exact_mass,polarizability,heat_formation,subset
CCCC(=O)C(C)C,13.836,114.18546000000006,114.104465068,13.7788,-309.74251,PQR–QM9 overlap
CCCC(=O)C1(C)CC1,13.785,126.19616000000006,126.104465068,15.206997,-189.89135,PQR–QM9 overlap
CCCC(=O)C1CC1,13.788,112.16958000000004,112.088815004,13.398239,-164.82131,PQR–QM9 overlap
CCCC(=O)C1CCC1,13.84,126.19616000000006,126.104465068,15.089596,-224.54484,PQR–QM9 overlap
CCCC(=O)CC,13.975,100.15888000000008,100.088815004,11.969347,-287.46484,PQR–QM9 overlap
CCCC(=O)CC(C)C,13.927,128.2120400000001,128.120115132,15.595733,-335.18548,PQR–QM9 overlap
CCCC(=O)CCC,13.844,114.18546000000008,114.104465068,13.817273,-308.9174,PQR–QM9 overlap
CCCC(=O)CCO,13.901,116.15828000000006,116.083729624,12.533639,-462.61851,PQR–QM9 overlap
CCCC(=O)N(C)C,13.659,115.17352000000004,115.099714041,13.336251,-270.19183,PQR–QM9 overlap
CCCC(=O)N1CC1,13.673000000000002,113.1576,113.08406398,12.77568,-101.9498,PQR–QM9 overlap
CCCC(=O)NC,14.165,101.14694000000004,101.084063977,11.416038,-272.812,PQR–QM9 overlap
CCCC(=O)NC(C)C,14.176000000000002,129.20010000000005,129.115364105,15.125026,-334.93496,PQR–QM9 overlap
CCCC(=O)NC1CC1,13.753,127.18422000000004,127.099714041,14.835886,-181.6956,PQR–QM9 overlap
CCCC(=O)NCC,14.119,115.17352000000004,115.099714041,13.279358,-302.15938,PQR–QM9 overlap
CCCC(=O)OC,14.951999999999998,102.13170000000004,102.06807956,10.831486,-445.40485,PQR–QM9 overlap
CCCC(=O)OC(C)C,11.63,130.18486,130.099379688,14.5233,-514.04155,PQR–QM9 overlap
CCCC(=O)OC1CC1,11.332999999999998,128.16898000000003,128.083729624,14.172015,-347.25911,PQR–QM9 overlap
CCCC(=O)OCC,14.949000000000002,116.15828000000006,116.083729624,12.714638,-477.57755,PQR–QM9 overlap
CCCC(C)(C)C,18.029,100.20194000000008,100.125200512,13.572471,-185.77079,PQR–QM9 overlap
CCCC(C)C,18.099,86.17536000000007,86.109550448,11.77093,-161.71928,PQR–QM9 overlap
CCCC(CC)CC,14.763,114.22852000000007,114.140850576,15.394489,-191.40107,PQR–QM9 overlap
CCCC1(C)CCCC1,14.484,126.23922000000007,126.140850576,16.678881,-170.55605,PQR–QM9 overlap
CCCC1=CCCC1,10.491,110.19676000000008,110.109550448,14.714121,-59.84502,PQR–QM9 overlap
CCCC1CC1,13.027,84.15948000000006,84.093900384,11.37888,-16.97594,PQR–QM9 overlap
CCCC1CCCC1,14.618,112.21264000000008,112.125200512,14.875153,-147.59062,PQR–QM9 overlap
CCCC=O,13.866,72.10571999999998,72.057514876,8.271107,-207.32233,PQR–QM9 overlap
CCCCC,14.815,72.14878000000003,72.093900384,9.965126,-139.26822,PQR–QM9 overlap
CCCCC,9.145,72.14877999999999,72.093900384,9.901739,76.56386,PQR–QM9 overlap
CCCCC#CC(C)C,11.437,124.22334000000008,124.125200512,16.869015,44.9767,PQR–QM9 overlap
CCCCC#N,12.963,83.13166000000004,83.073499293,10.199267,14.6946,PQR–QM9 overlap
CCCCC(=O)C(C)C,13.831,128.21204000000006,128.120115132,15.611245,-331.02306,PQR–QM9 overlap
CCCCC(=O)C1CC1,13.785,126.19616000000006,126.104465068,15.232272,-185.98925,PQR–QM9 overlap
CCCCC(=O)CC,10.855,114.18546,114.104465068,13.813041,-309.16144,PQR–QM9 overlap
CCCCC(=O)CCC,13.967,128.21204000000006,128.120115132,15.632099,-331.31,PQR–QM9 overlap
CCCCC(=O)N(C)C,13.661,129.20010000000005,129.115364105,15.173187,-290.89664,PQR–QM9 overlap
CCCCC(=O)NC,14.163,115.17352000000004,115.099714041,13.252058,-293.62208,PQR–QM9 overlap
CCCCC(=O)NCC,14.117,129.20010000000005,129.115364105,15.116987,-322.97244,PQR–QM9 overlap
CCCCC(=O)OC,14.944,116.15828000000003,116.083729624,12.668312,-466.21342,PQR–QM9 overlap
CCCCC(=O)OCC,14.942,130.18486,130.099379688,14.553129,-498.42467,PQR–QM9 overlap
CCCCC(C)(C)C,17.797,114.22852000000007,114.140850576,15.403589,-195.77471,PQR–QM9 overlap
CCCCC(C)C,17.978,100.20194000000008,100.125200512,13.605759,-183.01857,PQR–QM9 overlap
CCCCC1=CCCC1,13.489,124.22334000000008,124.125200512,16.519424,-79.86747,PQR–QM9 overlap
CCCCC1CCCC1,14.582999999999998,126.23922000000007,126.140850576,16.702956,-166.91996,PQR–QM9 overlap
CCCCC=O,13.871,86.13230000000006,86.07316494,10.119483,-231.29368,PQR–QM9 overlap
CCCCCC,14.707999999999998,86.17536000000007,86.109550448,11.79723,-160.47194,PQR–QM9 overlap
CCCCCC#N,15.782,97.15824000000006,97.089149357,12.040671,-6.61096,PQR–QM9 overlap
CCCCCC(=O)CC,13.972,128.21204000000006,128.120115132,15.636114,-330.05155,PQR–QM9 overlap
CCCCCC(=O)NC,14.165,129.20010000000005,129.115364105,15.088636,-315.26792,PQR–QM9 overlap
CCCCCC(=O)OC,14.939,130.18486000000007,130.099379688,14.505752,-487.80795,PQR–QM9 overlap
CCCCCC(C)C,14.887,114.22852000000007,114.140850576,15.439101,-204.38098,PQR–QM9 overlap
CCCCCC=O,10.868,100.15888000000008,100.088815004,11.951807,-252.62071,PQR–QM9 overlap
CCCCCCC,14.647,100.20194000000008,100.125200512,13.630498,-181.81775,PQR–QM9 overlap
CCCCCCC#N,15.649,111.18482000000007,111.104799421,13.87798,-28.00169,PQR–QM9 overlap
CCCCCCC(C)C,14.805,128.25510000000008,128.15650064,17.275986,-225.77673,PQR–QM9 overlap
CCCCCCC=O,13.865,114.18546000000006,114.104465068,13.783066,-273.83097,PQR–QM9 overlap
CCCCCCCC,14.606000000000002,114.22852000000007,114.140850576,15.465363,-203.16337,PQR–QM9 overlap
CCCCCCCC#N,12.555,125.21140000000008,125.120449485,15.719579,-49.39531,PQR–QM9 overlap
CCCCCCCC=O,13.864,128.21204000000006,128.120115132,15.619362,-295.27613,PQR–QM9 overlap
CCCCCCCCC,14.821000000000002,128.25510000000008,128.15650064,17.301329,-224.50439,PQR–QM9 overlap
CCCCCCCCO,16.434,130.22792000000007,130.135765196,16.065433,-368.49051,PQR–QM9 overlap
CCCCCCCO,13.38,116.20134000000007,116.120115132,14.233462,-340.15221,PQR–QM9 overlap
CCCCCCO,13.079,102.17476000000008,102.104465068,12.398249,-318.77464,PQR–QM9 overlap
CCCCCCOC,12.008,116.20134000000007,116.120115132,14.312764,-302.14707,PQR–QM9 overlap
CCCCCNC=O,13.848,115.17352000000004,115.099714041,12.906531,-194.57404,PQR–QM9 overlap
CCCCCNCC#N,13.638,126.19946000000007,126.115698458,15.133885,39.10268,PQR–QM9 overlap
CCCCCO,13.151,88.14818000000005,88.088815004,10.559516,-304.41366,PQR–QM9 overlap
CCCCCOC,12.004,102.17476000000008,102.104465068,12.47676,-280.73425,PQR–QM9 overlap
CCCCCOC(C)C,11.971,130.22792000000004,130.135765196,16.161292,-345.00811,PQR–QM9 overlap
